payer_entity,brand_or_note,relationship,page_id,page_names_seen,page_name_unbranded,ads_sampled,ads_naming_brand_in_creative,summed_eu_reach,delivered_male,delivered_female,male_share,gender_target_counts,age_target,first_ad_start,last_ad_start,page_likes,top_destination,top_delivery_countries,ad_library_url
AM APPS LTD,Simple,brand operator,102921707941613,Simple App,no,71,71,22560877,4211641,18289561,0.1854,Women:34;All:31;Men:6,18-65,2025-07-05,2026-07-24,249784,simple.life,IT;FR;ES;BE;IE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=102921707941613
AM APPS LTD,Simple,brand operator,101158748994207,Simple Fasting App,no,268,256,19387674,3052058,16186638,0.1569,Women:144;All:123;Men:1,18-65,2025-07-05,2026-08-05,38559,simple.life,IT;FR;ES;DE;IE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=101158748994207
AM APPS LTD,Simple,brand operator,123012040705304,Мy 28 Day Challenge,yes,226,224,13311092,3689921,9534929,0.2762,Women:77;Men:76;All:73,18-65,2025-12-26,2026-08-12,20724,simple.life,ES;DE;IT;FR;IE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=123012040705304
AM APPS LTD,Simple,brand operator,688155977722463,Simple: Weight Loss Coach,no,274,274,6368175,527403,5786769,0.0826,Women:181;All:77;Men:16,18-65,2025-08-30,2026-08-11,10122,simple.life,IE;FR;IT;ES;DE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=688155977722463
AM APPS LTD,Simple,brand operator,847644485094976,Coach Kai Tan,yes,260,260,4822993,4694948,91125,0.9697,Men:183;All:77,18-65,2026-03-01,2026-08-15,2422,simple.life,GR;IE;NL;ES;PT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=847644485094976
AM APPS LTD,Simple,brand operator,540205795844319,Laci Coach,yes,270,266,1880741,372824,1489624,0.1987,Women:163;All:92;Men:15,18-65,2026-03-01,2026-08-15,514,simple.life,FR;ES;IT;DE;IE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=540205795844319
ATHLETIC GREENS,AG1,brand operator (creator whitelisting),183869772601,AG1 by Athletic Greens,no,50,50,21658576,10952134,10294160,0.5073,All:50,18-65,2025-06-26,2026-01-15,293018,drinkag1.com,DE;AT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=183869772601
ATHLETIC GREENS,AG1,brand operator (creator whitelisting),546029518593175,AG1 Deutschland,no,35,35,15832785,7429036,7965913,0.4705,All:35,18-65,2026-01-05,2026-08-14,188,drinkag1.com,DE;AT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=546029518593175
ATHLETIC GREENS,AG1,brand operator (creator whitelisting),108484011864506,Hahnertwinscoaching- Anna und Lisa Hahner,yes,3,3,1705146,636320,1022071,0.3759,All:3,18-65,2025-07-23,2026-04-01,5492,drinkag1.com,DE;AT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=108484011864506
ATHLETIC GREENS,AG1,brand operator (creator whitelisting),503865269479729,Dr. Georg Abel,yes,1,1,276199,190238,89018,0.6768,All:1,18-65,2025-07-18,2025-07-18,108,drinkag1.com,DE;AT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=503865269479729
